id,name,address,operator
DORM-45665,"33, SINGAPORE 489950 OHG FOOD MANUFACTURING",1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45695,,28 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638104 POLYMER TECHNOLOGIES PTE LTD,
DORM-45808,05 SINGAPORE 489950 THESEAFOODCOMPANY,1550 BEDOK NORTH AVENUE 4 #01,PTE LTD
DORM-45848,,"28 THIRD LOK YANG ROAD, SINGAPORE 628016 EUNIX FIRE PROTECTION PTE LTD",
DORM-46481,,10U ENTERPRISE ROAD ENTERPRISE 10 SINGAPORE 627678 THONG LEE CONTAINER SERVICE PTE. LTD.,
DORM-45983,,93 SECOND LOK YANG ROAD SINGAPORE 628168 ALPHA SEALING PTE. LTD.,
DORM-46489,,16L ENTERPRISE ROAD ENTERPRISE 10 SINGAPORE 627660 ELTRON ENGINEERING PTE. LTD.,
DORM-46491,12 SINGAPORE 489950 BBQ WHOLESALE CENTRE,1550 BEDOK NORTH AVENUE 4 #05,PTE. LTD.
DORM-46505,,62 KIAN TECK ROAD SINGAPORE 628794 FMB TRADING AND ENGINEERING PTE LTD,
DORM-46517,,3 TUAS AVENUE 4 SINGAPORE 639364 EVERISE WAREHOUSING AND TRANSPORTATION PTE LTD,
DORM-46543,17 SINGAPORE 489950 SHEERA,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-46556,"16, PAYA UBI INDUSTRIAL PARK SINGAPORE 408933 L&Y PROJECTS","51 UBI AVENUE 1, #03",PTE LTD
DORM-45569,09 SINGAPORE 489950 THE WHITE TIFFIN,1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45456,,50 LORONG 17 GEYLANG SINGAPORE 388570 LIAN HUP METAL COMPANY (PRIVATE) LIMITED,
DORM-46658,G BUILDER,9 SENANG CRESCENT SINGAPORE 416583 PT,PTE LTD
DORM-45509,08 SINGAPORE 489950 SEE LIAN CONFECTIONERY,1550 BEDOK NORTH AVENUE 4 #02,PTE LTD
DORM-45436,15 SINGAPORE 489950 JACKSON BAKERY & CONFECTIONERY,1550 BEDOK NORTH AVENUE 4 #02,
DORM-45487,17 SINGAPORE 489950 JIN HAI HENG XU HOLDINGS,1550 BEDOK NORTH AVENUE 4 #02,PTE. LTD.
DORM-45429,31 SINGAPORE 489950,1550 BEDOK NORTH AVENUE 4 #02,
DORM-45482,01 SINGAPORE 489950 XIAO MU DENG F&B (SINGAPORE),1550 BEDOK NORTH AVENUE 4 #03,PTE. LTD.
DORM-45573,02 SINGAPORE 489950 YADHAR,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45555,10 SINGAPORE 489950(cid:9) Shaabaz Kitchen,1550 BEDOK NORTH AVENUE 4 #03,Pte Ltd
DORM-45473,16 SINGAPORE 489950 SIN MUI HENG FOOD IND,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45602,24 SINGAPORE 489950 YONG SHENG FOOD MANUFACTURING,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45428,25 SINGAPORE 489950 TIONG BAHRU FRIED FISH BALL,1550 BEDOK NORTH AVENUE 4 #03,
DORM-45495,31 SINGAPORE 489950 SANG CHOW WONG FOODSTUFF,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45496,32 SINGAPORE 489950 SANG CHOW WONG FOODSTUFF,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45427,33 SINGAPORE 489950 FAME SEAFOOD DEALER,1550 BEDOK NORTH AVENUE 4 #03,
DORM-45571,02 SINGAPORE 489950 BEE HIANG FOOD INDUSTRIES,1550 BEDOK NORTH AVENUE 4 #04,
DORM-45423,03 SINGAPORE 489950 FORTUNE FOOD SINGAPORE,1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45556,06 SINGAPORE 489950 FS Fruity,1550 BEDOK NORTH AVENUE 4 #04,Pte Ltd
DORM-45468,07 SINGAPORE 489950 CTC 1,1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45424,08 SINGAPORE 489950 SCOOP IT,1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45457,11 SINGAPORE 489950 RAJ FOOD INDUSTRIES (S),1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45544,14 SINGAPORE 489950 IRON CHEF FOODS,1550 BEDOK NORTH AVENUE #04,PTE LTD
DORM-45467,22 SINGAPORE 489950 KIM KEAT SATAY FOOD INSUSTRIES,1550 BEDOK NORTH AVENUE 4 #04,
DORM-45465,27 SINGAPORE 489950 HAI LEE SEAFOOD,1550 BEDOK NORTH AVENUE 4 #04,TRADING CO
DORM-45526,21 SINGAPORE 489950 KIM HUA GUAN FOOD INDUSTRIES,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45559,22 SINGAPORE 489950 Events & Catering Recipes,1550 BEDOK NORTH AVENUE 4 #05,
DORM-45524,24 SINGAPORE 489950 COOL DELITE,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-00863,,90 KAKI BUKIT INDUSTRIAL TERRACE SINGAPORE 416170 ATLANTIC GLASS INDUSTRY,
DORM-45609,27 SINGAPORE 489950 L&K GLOBAL,1550 BEDOK NORTH AVENUE 4 #02,PTE LTD
DORM-45610,"08, SINGAPORE 489950 WAN FU YANGSHENG",1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45627,"07, SINGAPORE 489950 WAN FU YANGSHENG",1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45637,"06, SINGAPORE 489950 GREENTEA RICE SHOPP",1550 BEDOK NORTH AVENUE 4 #02,PTE LTD
DORM-45640,09 SINGAPORE 489950 KIM CHOO KUEH CHANG,1550 BEDOK NORTH AVENUE 4 #05,PTE. LTD.
DORM-45641,07 SINGAPORE 489950 LS F&B Services,1550 BEDOK NORTH AVENUE 4 #03,Pte Ltd
DORM-45642,08 SINGAPORE 489950 LS F&B Services,1550 BEDOK NORTH AVENUE 4 #03,Pte Ltd
DORM-45658,10 SINGAPORE 489950 HEN LE SHAN,1550 BEDOK NORTH AVENUE 4 #04,PTE. LTD.
DORM-45662,"33, SINGAPORE 489950 BIJAN",1550 BEDOK NORTH AVENUE 4 #02,PTE LTD
DORM-45674,31 SINGAPORE 489950 TONG XIN ENTERPRISE HOLDING,1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45708,20 SINGAPORE 489950 Kim Guan Guan Coffee Roaster,1550 BEDOK NORTH AVENUE 4 #05,Pte Ltd
DORM-45764,07 SINGAPORE 489950 Kwong Woh Hing Sauce Factory,1550 BEDOK NORTH AVENUE 4 #02,Pte Ltd
DORM-45836,30 SINGAPORE 489950 OT FROZEN FOOD,1550 BEDOK NORTH AVENUE 4 #04,
DORM-45847,23 SINGAPORE 489950 SPIZE CONCEPTS,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45853,13 SINGAPORE 489950 INDONESIAN PANGGANG FOOD ENTERPRISE,1550 BEDOK NORTH AVENUE 4 #02,
DORM-45858,04 SINGAPORE 489950 GUAN KEE,1550 BEDOK NORTH AVENUE 4 #02,
DORM-46619,23 SINGAPORE 489950 GOKUL-RAAS,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45594,04 SINGAPORE 489950 CARDA KITCHEN,1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-00129,,25C SENOKO WAY SINGAPORE 758061 EAST HOPE (SINGAPORE) ANIMAL NUTRITION PTE. LTD.,
DORM-45630,"09, SINGAPORE 489950 MASLINA",1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45721,03 SINGAPORE 489950 OLLELLA,1550 BEDOK NORTH AVENUE 4 #05,Pte Ltd
DORM-45936,15 SINGAPORE 489950 FROSTS FOOD & BEVERAGE,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45497,28 SINGAPORE 489950 DUO FU FOOD,1550 BEDOK NORTH AVENUE 4 #03,CRAFT LLP
DORM-45463,01 SINGAPORE 489950 YOU TIAN MAN,1550 BEDOK NORTH AVENUE 4 #04,PTE LTD
DORM-45710,06 SINGAPORE 489950 HARVEST BAKES,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45426,26 SINGAPORE 489950 ONG SAM BEE COMPANY,1550 BEDOK NORTH AVENUE 4 #05,
DORM-45506,27 SINGAPORE 489950 MORNING SUN FOODSTUFF,1550 BEDOK NORTH AVENUE 4 #05,PTE LTD
DORM-45438,03 SIN MING AUTOCITY SINGAPORE 575722 TAN HUP SENG AUTO REPAIR WORKSHOP,160 SIN MING DRIVE #01,
DORM-45439,10 SIN MING AUTOCITY SINGAPORE 575722 FIRST STAR AUTO,160 SIN MING DRIVE #01,PTE. LTD.
DORM-45661,11 SIN MING AUTOCITY SINGAPORE 575722 ELLIPSE AUTO TRANSMISSION,160 SIN MING DRIVE #02,PTE LTD
